date,t2m,sp,rh,wind_speed,pwv,tp
2018/2/14 0:00,282.24,1012.32,41.14,2.64,13.85,1.00E-05
2018/2/14 0:15,282.12,1012.39,41.65,2.76,13.75,1.00E-05
2018/2/14 0:30,282,1012.46,42.16,2.87,13.82,1.00E-05
2018/2/14 0:45,281.89,1012.53,42.67,2.98,13.86,1.00E-05
2018/2/14 1:00,281.77,1012.6,43.18,3.1,13.69,1.00E-05
2018/2/14 1:15,282.79,1012.49,45.23,3.13,13.79,1.00E-05
2018/2/14 1:30,283.82,1012.38,47.28,3.16,14.04,1.00E-05
2018/2/14 1:45,284.84,1012.26,49.34,3.19,14.6,1.00E-05
2018/2/14 2:00,285.86,1012.15,51.39,3.22,15.43,1.00E-05
2018/2/14 2:15,285.79,1012.13,51.53,3.11,16.08,1.00E-05
2018/2/14 2:30,285.73,1012.11,51.68,3,16.63,1.00E-05
2018/2/14 2:45,285.66,1012.09,51.82,2.89,17.41,1.00E-05
2018/2/14 3:00,285.59,1012.07,51.96,2.78,17.84,1.00E-05
2018/2/14 3:15,285.53,1011.87,52.28,2.74,18.08,1.00E-05
2018/2/14 3:30,285.47,1011.67,52.6,2.7,17.84,1.00E-05
2018/2/14 3:45,285.41,1011.47,52.92,2.65,17.83,1.00E-05
2018/2/14 4:00,285.35,1011.27,53.23,2.61,17.93,1.00E-05
2018/2/14 4:15,285.6,1010.95,53.52,2.55,17.67,1.00E-05
2018/2/14 4:30,285.85,1010.64,53.8,2.49,17.6,1.00E-05
2018/2/14 4:45,286.1,1010.33,54.08,2.42,17.7,1.00E-05
2018/2/14 5:00,286.35,1010.02,54.36,2.36,18.03,1.00E-05
2018/2/14 5:15,286.47,1009.79,54.51,2.31,17.84,1.00E-05
2018/2/14 5:30,286.58,1009.56,54.65,2.25,17.72,1.00E-05
2018/2/14 5:45,286.7,1009.33,54.8,2.2,17.62,1.00E-05
2018/2/14 6:00,286.82,1009.1,54.94,2.15,17.71,1.00E-05
2018/2/14 6:15,286.81,1009.03,55.11,2.09,17.69,1.00E-05
2018/2/14 6:30,286.8,1008.96,55.28,2.04,17.74,1.00E-05
2018/2/14 6:45,286.78,1008.89,55.45,1.98,17.6,1.00E-05
2018/2/14 7:00,286.77,1008.82,55.62,1.93,17.16,1.00E-05
2018/2/14 7:15,286.51,1008.81,55.9,1.94,17.07,1.00E-05
2018/2/14 7:30,286.25,1008.8,56.18,1.95,17.16,1.00E-05
2018/2/14 7:45,285.98,1008.78,56.46,1.96,17.23,1.00E-05
2018/2/14 8:00,285.72,1008.77,56.74,1.97,17.57,1.00E-05
2018/2/14 8:15,285.75,1008.82,56.74,2.01,17.66,1.00E-05
2018/2/14 8:30,285.79,1008.86,56.73,2.06,17.65,1.00E-05
2018/2/14 8:45,285.83,1008.91,56.73,2.1,17.77,1.00E-05
2018/2/14 9:00,285.87,1008.95,56.72,2.15,17.97,1.00E-05
